,ticker,confidence,prev_close,prediction,actual_closing,percent_error,delta_mu,simulated_shares,num_shares,returns
0,UPH,0.9352917446405734,2.5,1.8793765222608747,2.440000057220459,22.976373844770396,-0.059999942779541016,0.18050194849512516,7.0,-0.4199995994567871
1,EXPR,0.8350550469889251,4.389999866485597,4.3600000722078285,4.190000057220459,4.057279538562661,-0.1999998092651376,0.1611572687836708,3.0,-0.5999994277954128
2,BORR,0.8223712257992783,1.350000023841858,1.3200000382655075,1.2899999618530273,2.3255873875675452,-0.060000061988830566,0.1587094182041975,11.0,-0.6600006818771362
3,UGP,0.8931175023085762,2.400000095367432,2.279999962644822,2.390000104904175,4.6025162105071535,-0.00999999046325728,0.17236274170659893,7.0,-0.06999993324280096
4,CSLT,0.8107995010327409,1.6499999761581419,1.6821229664218964,1.7400000095367432,3.326266827449956,0.0900000333786013,0.15647619110711458,9.0,0.8100003004074117
5,RAAS,0.8849807592159771,3.8199999332427983,3.8705195229025064,3.7300000190734863,3.767278903765917,-0.08999991416931197,0.17079243170329317,4.0,-0.35999965667724787
