,ticker,confidence,prev_close,prediction,actual_closing,percent_error,delta_mu,simulated_shares,num_shares,returns
0,AGRX,0.8780701225362371,0.7599999904632568,0.7928842893906483,0.7447999715805054,6.456004248779091,-0.015200018882751465,0.02299697508868306,151.0,-2.295202851295471
1,ATHX,0.8552702287046887,1.149999976158142,1.2799999751380664,1.1349999904632568,12.77532915358237,-0.014999985694885254,0.022399837597027777,97.0,-1.4549986124038696
2,AUMN,0.8282597075006224,0.4900000095367432,0.4799999861238316,0.48570001125335693,1.173569075037969,-0.004299998283386286,0.02169242224679574,221.0,-0.9502996206283691
3,BBI,0.8149725109716129,0.3700000047683716,0.3999999975641513,0.37459999322891235,6.78056721685987,0.0045999884605407715,0.021344425748869737,288.0,1.3247966766357422
4,BDSI,0.8399459967679118,3.240000009536743,3.5354640611492227,3.204400062561035,10.331543881059382,-0.03559994697570801,0.021998490402699664,33.0,-1.1747982501983643
5,BENER,0.8458667636256635,0.41999998688697815,0.39100000171677896,0.4101000130176544,4.657403241792442,-0.00989997386932373,0.022153557434863712,263.0,-2.603693127632141
6,CALA,0.915892842912694,0.9860000014305116,0.8709999864224137,1.0,12.900001357758628,0.013999998569488414,0.023987565858098185,121.0,1.6939998269080982
7,COMS,0.8284115047651659,1.2799999713897705,1.2000000251181695,1.2798999547958374,6.24266993512107,-0.00010001659393310547,0.021696397872228882,84.0,-0.00840139389038086
8,CRTD,0.8294745901329905,3.2300000190734863,3.180000110622798,3.1500000953674316,0.9523814078445989,-0.07999992370605469,0.02172424046371849,33.0,-2.6399974822998047
9,CXDC,0.8619580928472236,0.08160000294446945,0.14999999822745702,0.07100000232458115,111.26759622023987,-0.010600000619888306,0.022574995185396834,1383.0,-14.659800857305527
10,DFFN,0.8200122937957972,0.4300000071525574,0.4600000159766301,0.4253000020980835,8.158949848898429,-0.004700005054473877,0.021476419489557978,249.0,-1.1703012585639954
11,ENSC,0.8645917663072951,2.2100000381469727,2.2799999049209343,2.130000114440918,7.042243306141241,-0.07999992370605469,0.022643972048859682,51.0,-4.079996109008789
12,FTK,0.8127171341348319,1.0299999713897705,1.0700000527117282,1.0,7.000005271172816,-0.029999971389770508,0.021285356611223608,103.0,-3.0899970531463623
13,GBS,0.8403861356747958,1.9800000190734863,2.1700001029749982,1.9199999570846558,13.020841222827151,-0.060000061988830566,0.02201001780036118,55.0,-3.300003409385681
14,GHSI,0.8529388752110972,1.3200000524520874,1.2699999736104313,1.2899999618530273,1.55038673131951,-0.03000009059906006,0.022338778603174098,84.0,-2.520007610321045
15,GMDA,0.8364023930193957,3.650000095367432,4.000000036449092,3.380000114440918,18.343192337753138,-0.2699999809265141,0.021905682134843556,30.0,-8.099999427795424
16,GORO,0.8797668378565626,2.259999990463257,2.0499999547040857,2.244999885559082,8.68596618241852,-0.015000104904174805,0.023041412678520883,50.0,-0.7500052452087402
17,GPL,0.8637330682771873,0.2700000107288361,0.27221305903520404,0.28029999136924744,2.885099030698949,0.010299980640411321,0.02262148243590024,418.0,4.3053919076919325
18,GRNQ,0.8658359213500126,1.0399999618530271,0.9999998709462146,1.0099999904632568,0.9901108526204555,-0.029999971389770286,0.022676556920830038,109.0,-3.2699968814849614
19,GRTX,0.8142164274489294,1.7200000286102295,1.829999995561735,1.6799999475479126,8.928574565300364,-0.040000081062316895,0.021324623647090105,61.0,-2.4400049448013306
20,HIVE,0.8689083443959829,4.320000171661377,4.1700000354254625,4.120200157165527,1.2086761895129567,-0.1998000144958496,0.022757024795133727,26.0,-5.19480037689209
21,HOFV,0.8263872798396359,2.309999942779541,2.2500000465297254,2.315000057220459,2.8077757703719826,0.005000114440917969,0.021643382687004442,46.0,0.23000526428222656
22,IFRX,0.8869407150982414,5.579999923706055,4.689999929219737,4.997900009155273,6.160589034824981,-0.5820999145507812,0.023229299126290716,20.0,-11.641998291015625
23,IGC,0.8942348625112579,1.4800000190734863,1.4199999340894074,1.5449999570846558,8.090616599829406,0.06499993801116943,0.023420335493484046,79.0,5.134995102882385
24,INM,0.8548907686700283,1.399999976158142,1.5099999762831593,1.350000023841858,11.851848119674118,-0.04999995231628418,0.02238989940104517,79.0,-3.94999623298645
25,KLXE,0.8093962970165047,4.1599998474121085,4.38757857763212,4.161799907684326,5.425024627707775,0.001800060272217685,0.021198382682235842,25.0,0.045001506805442126
26,KULR,0.8146172845075522,3.650000095367432,3.4400000011903065,3.6500000953674316,5.75342708740355,-4.440892098500626e-16,0.021335122238893507,29.0,-1.2878587085651816e-14
27,LCTX,0.8664055198479528,2.5299999713897705,2.3399998952463323,2.497999906539917,6.325060736789098,-0.032000064849853516,0.022691474912151555,44.0,-1.4080028533935547
28,LTRPA,0.8580413954902641,2.9300000667572017,3.049282733528597,2.924999952316284,4.2489840423379865,-0.005000114440917525,0.022472415460570598,38.0,-0.19000434875486594
29,NAK,0.8244585097054978,0.41999998688697815,0.41000000086452537,0.41019999980926514,0.04875644681442247,-0.009799987077713013,0.021592867497399255,257.0,-2.5185966789722443
30,NVIV,0.8564606744433098,0.5600000023841858,0.5404625726126209,0.5498999953269958,1.7162070912117486,-0.010100007057189941,0.02243101580283715,200.0,-2.0200014114379883
31,OEG,0.8392191012973513,2.700000047683716,2.6400000591961814,2.4800000190734863,6.451614471457551,-0.2200000286102295,0.021979452746595077,40.0,-8.80000114440918
32,OGI,0.84563243723864,2.3299999237060547,2.299999978839564,2.3949999809265137,3.966597195971518,0.06500005722045898,0.022147420341769784,47.0,3.0550026893615723
