,ticker,confidence,prev_close,prediction,actual_closing,percent_error,delta_mu,simulated_shares,num_shares,returns
0,ATIP,0.9176755447941888,4.019999980926514,3.79999995612394,3.9549999237060547,3.9190890157305227,-0.06500005722045898,0.06693116194458586,83.0,-5.395004749298096
1,BEST,0.9051837073669408,1.2899999618530271,1.082958882214581,1.2575000524520874,13.880012958819073,-0.03249990940093972,0.06602006302888347,255.0,-8.287476897239628
2,BLBX,0.8728483790027739,4.139999866485597,4.249999988266638,3.859999895095825,10.103629631345653,-0.2799999713897714,0.06366166837453012,76.0,-21.279997825622626
3,FGF,0.8873407062702275,4.2100000381469735,4.369999837315623,4.034999847412109,8.30235446274848,-0.17500019073486417,0.06471867409817009,76.0,-13.300014495849677
4,FTK,0.9549610769062028,1.0299999713897705,0.9900000098003584,1.0,0.9999990199641595,-0.029999971389770508,0.0696506023853126,338.0,-10.139990329742432
5,GLDG,0.9080702681487128,1.6100000143051147,1.4082232467429276,1.5800000429153442,10.871948829536855,-0.029999971389770508,0.06623059589994414,205.0,-6.149994134902954
6,HYMC,0.9116284511886312,1.0499999523162842,1.070000050467563,0.9657999873161316,10.788989906801902,-0.08419996500015259,0.06649011390347409,316.0,-26.607188940048218
7,KNDI,0.9283510138605228,4.53000020980835,4.409999879546438,4.560200214385986,3.2937223757350287,0.03020000457763672,0.06770978305197677,74.0,2.234800338745117
8,LQDA,0.9284822192710388,4.989999771118164,4.309999977213153,4.954999923706055,13.017153510074698,-0.034999847412109375,0.06771935258952091,67.0,-2.344989776611328
9,NCNA,0.8836917667568909,2.900000095367432,2.6800000450700825,2.869999885559082,6.6202037653387285,-0.030000209808350053,0.06445253672218944,111.0,-3.330023288726856
10,PXLW,0.9069747176683391,5.519999980926514,5.288597034214681,5.315000057220459,0.4967643033212999,-0.2049999237060547,0.06615069133341588,59.0,-12.094995498657227
11,RIBT,0.9498026540259502,0.5299999713897705,0.5500000090373324,0.5271999835968018,4.32473940628342,-0.00279998779296875,0.0692743700239563,653.0,-1.8283920288085938
12,SLGG,0.9213503512222028,4.0399999618530265,3.2899999411168284,3.9000000953674316,15.641029213696292,-0.13999986648559481,0.06719918593797185,83.0,-11.619988918304369
13,SOLO,0.9012626276118514,3.890000104904175,3.7801442515879993,3.9000000953674316,3.073226688425,0.009999990463256836,0.06573407695725465,84.0,0.8399991989135742
14,SWN,0.9331133107329872,5.210000038146973,4.960000093181251,5.379199981689453,7.792978322708563,0.16919994354248047,0.0680571237488138,65.0,10.99799633026123
