,ticker,prev_close,prediction,actual_closing,percent_error,delta_mu
0,ABEV,3.150000095367432,3.165384858581187,3.200000047683716,1.081724643335072,0.049999952316283736
1,CIG,2.3299999237060547,2.29999993104183,2.4100000858306885,4.56432161291576,0.08000016212463379
2,BEST,1.2100000381469729,1.2999999433768066,1.159999966621399,12.068963860677496,-0.05000007152557395
3,NAT,2.289999961853028,2.341946415490236,2.2750000953674316,2.9426952666563313,-0.014999866485596147
4,BORR,1.3200000524520874,1.2400000190552067,1.3300000429153442,6.766918868879022,0.009999990463256836
5,TEF,4.360000133514403,4.36000007804649,4.425000190734863,1.468929036985625,0.06500005722045987
6,CCO,3.2699999809265137,3.18000009794458,3.490000009536743,8.882518932523208,0.2200000286102295
7,BRFS,4.199999809265137,4.320000112629497,4.304999828338623,0.34843867337999307,0.10500001907348633
8,DS,2.5999999046325684,2.8100012795123814,2.5399999618530273,10.629973295841223,-0.059999942779541016
9,HLX,4.0300002098083505,3.8800001270828735,4.110000133514404,5.596107030655034,0.0799999237060538
10,ESGC,0.8999999761581421,0.9100000185549812,0.8849999904632568,2.824861961708954,-0.014999985694885254
11,IVC,4.400000095367432,4.293347855965979,4.610000133514404,6.868812763070956,0.21000003814697266
12,ATIP,3.0799999237060547,2.9894167436174737,2.9649999141693115,0.8235018602016683,-0.11500000953674316
13,CBD,4.179999828338623,4.219999862881374,4.300000190734863,1.8604726582539381,0.12000036239624023
14,JP,1.4800000190734863,1.4899999926167742,1.6299999952316284,8.588957240761204,0.1499999761581421
