https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YFI,Volume USD
1649635200,2022-04-11 00:00:00,YFI/USD,20069.68,20079.71,19972.46,19972.46,0.03164135,631.955597221
1649548800,2022-04-10 00:00:00,YFI/USD,20567.87,20864.89,20097.20,20209.67,0.42710077,8631.5656184459
1649462400,2022-04-09 00:00:00,YFI/USD,20545.17,20547.75,20275.00,20489.16,0.81105864,16617.9102443424
1649376000,2022-04-08 00:00:00,YFI/USD,21333.84,21798.82,20596.37,20596.37,0.93801085,19319.618530614498
1649289600,2022-04-07 00:00:00,YFI/USD,21820.98,21958.87,21020.30,21378.97,1.33231603,28483.544435889104
1649203200,2022-04-06 00:00:00,YFI/USD,23393.20,23393.20,21691.24,21703.97,10.77698781,233903.42011860572
1649116800,2022-04-05 00:00:00,YFI/USD,23837.46,24314.16,23356.33,23530.20,6.16196082,144992.170486764
1649030400,2022-04-04 00:00:00,YFI/USD,24942.30,24942.30,23081.34,23713.53,5.28211529,125257.5993928737
1648944000,2022-04-03 00:00:00,YFI/USD,23326.74,25323.63,22886.72,25097.35,6.69478574,168021.380891789
1648857600,2022-04-02 00:00:00,YFI/USD,23700.00,23947.00,23000.00,23245.72,2.69264027,62592.361777144404
1648771200,2022-04-01 00:00:00,YFI/USD,22359.56,23500.00,21661.40,23401.96,3.88193671,90844.9276099516
1648684800,2022-03-31 00:00:00,YFI/USD,24011.37,24136.28,22141.72,22291.03,6.02231053,134243.5046935459
1648598400,2022-03-30 00:00:00,YFI/USD,22987.66,24545.23,22700.00,24193.04,7.55247866,182717.4183205264
1648512000,2022-03-29 00:00:00,YFI/USD,22051.48,23850.00,22036.87,23288.73,5.62650769,131034.2184353337
1648425600,2022-03-28 00:00:00,YFI/USD,22183.74,23958.00,22183.74,22200.00,4.29378841,95322.102702
