,ticker,confidence,prev_close,prediction,actual_closing,percent_error,delta_mu,simulated_shares,num_shares,returns
0,BRFS,0.8799388001891941,4.239999771118163,4.309999962406684,4.255000114440918,1.2925933369332536,0.015000343322754794,0.115958634675305,2.0,0.03000068664550959
1,YSG,0.8708658369746896,2.9000000953674316,3.079999888017149,2.940000057220459,4.7618989140105334,0.039999961853027344,0.11476299649389168,3.0,0.11999988555908203
2,HIPO,0.8608452927070378,4.070000171661377,4.2600363121947415,4.099999904632568,3.9033271045042928,0.029999732971191406,0.1134424857586786,2.0,0.05999946594238281
3,EXPR,0.8755390279532467,4.190000057220459,4.2791398014641535,4.230000019073486,1.1616969779926967,0.039999961853027344,0.11537883119209334,2.0,0.07999992370605469
4,BORR,0.8370707429361623,1.2899999618530271,1.3500000393436729,1.3100999593734741,3.0455752391046595,0.020099997520447,0.11030946749552434,8.0,0.160799980163576
5,SB,0.8016329417571598,3.7300000190734863,3.9300000312802434,3.7300000190734863,5.361930594746649,0.0,0.10563946199090457,2.0,0.0
6,TK,0.8141026543243509,3.630000114440918,3.7499999916667313,3.634999990463257,3.16368642380157,0.004999876022338867,0.1072827249584815,2.0,0.009999752044677734
7,CSLT,0.8423346673203622,1.75,1.749999998505634,1.7899999618530273,2.234634871499378,0.039999961853027344,0.1110031492430443,6.0,0.23999977111816406
8,JP,0.8060553480062691,1.4900000095367432,1.5885612070287851,1.1691999435424805,35.867369460839186,-0.3208000659942627,0.10622224819207673,7.0,-2.245600461959839
